0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
0.01033,3e-05,0.01173,0.01377,0.01627,0.06247,0.05373,0.01225,0.01485,0.0144,1.0,0.01485,0.01485,0.01033,0.0144,0.01004,0.01398,0.01944,0.03287,0.08939,0.02209,0.01462,0.01627,0.01627,0.03263,0.02033,0.01419,0.01602,0.01554,0.0144,0.01419,0.01317,0.01337,0.01485,0.01485,0.01419,0.01485,0.0144,0.01462,0.01485,0.01337,0.01261,0.01462,0.01419,0.03126,0.01225,0.01337,0.04845,0.01419,0.01124,0.0144,0.01398,0.01419,0.0144,0.01419,0.01419,0.01398,0.01337,0.01398,0.01507,0.01377,0.01419,0.01485,0.01357,0.01419,0.01419,0.0144,0.0144,0.01398,0.01419,0.0144,0.01507,0.01485,0.01578,0.01485,0.0144,0.01462,0.02047,0.01485,0.01462,0.01462,0.01507,0.06807,0.01485,0.01485,0.01485,0.01462,0.0144,0.01982,0.01507,0.01485,0.0144,0.01419,0.01377,0.0144,0.0196,0.01419,0.0196,0.0144,0.01419,0.01398,0.0144,0.01298,0.01398,0.01419,0.0198,0.01398,0.01462,0.01991,0.0144,0.01419,0.01485,0.01462,0.01485,0.01398,0.0144,0.01419,0.01419,0.01279,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144,0.01485
0.03143,6e-05,0.16189,0.07145,0.08745,0.00249,0.00063,0.02667,0.17333,0.25334,0.01485,1.0,0.11039,0.0925,0.2546,0.08808,0.24064,0.2397,0.18343,0.11066,0.09113,0.13694,0.11803,0.1443,0.09884,0.12466,0.11751,0.16584,0.18595,0.19497,0.45001,0.18176,0.30595,0.25579,0.26137,0.23803,0.26137,0.21364,0.20537,0.25989,0.20239,0.27596,0.45001,0.236,0.14366,0.13056,0.1803,0.32328,0.23355,0.1804,0.25579,0.20634,0.23701,0.25334,0.45001,0.38877,0.27253,0.18068,0.36422,0.21111,0.20663,0.25082,0.28589,0.17145,0.28296,0.45001,0.27985,0.2009,0.19026,0.20904,0.28849,0.24174,0.22117,0.19396,0.25579,0.19508,0.24174,0.24324,0.25212,0.24675,0.45001,0.20253,0.25334,0.25069,0.25655,0.25667,0.24186,0.21664,0.25082,0.24159,0.25995,0.26056,0.23787,0.21078,0.48959,0.20272,0.25245,0.20272,0.25892,0.23701,0.21496,0.25869,0.16069,0.22094,0.45001,0.23334,0.22094,0.23957,0.25313,0.25773,0.23852,0.48959,0.45001,0.25644,0.22767,0.25052,0.23761,0.236,0.29025,0.31809,0.48959,0.26453,0.48959,0.25639,0.48959,0.48959
0.04949,0.00741,0.0936,0.27221,0.48134,0.00277,0.00069,0.02667,0.32451,0.10856,0.01485,0.11039,1.0,0.07777,0.23135,0.05176,0.16553,0.12466,0.07893,0.07348,0.08211,0.09617,0.15915,0.39101,0.08425,0.09884,0.27256,0.36283,0.37617,0.3707,0.1804,0.14651,0.14617,0.19698,0.127,0.14544,0.127,0.13965,0.18718,0.10072,0.31528,0.13694,0.1804,0.19352,0.11249,0.11699,0.16822,0.15114,0.17689,0.10162,0.19698,0.11259,0.13445,0.18035,0.1804,0.16772,0.3223,0.1709,0.16189,0.49447,0.28507,0.09895,0.15111,0.29058,0.101,0.19468,0.11089,0.15314,0.15787,0.38184,0.12417,0.50795,0.11336,0.36993,0.31506,0.34471,0.41143,0.35342,0.17101,0.11385,0.1804,0.10179,0.18964,0.10438,0.33731,0.33939,0.20256,0.16387,0.13694,0.37319,0.12502,0.36307,0.31688,0.1244,0.18732,0.12033,0.16454,0.12033,0.11998,0.33805,0.22713,0.10518,0.08688,0.11422,0.1804,0.12668,0.11422,0.43945,0.13014,0.12637,0.11914,0.1507,0.1804,0.33551,0.14311,0.15349,0.11773,0.19352,0.14144,0.12259,0.18732,0.13723,0.12737,0.23519,0.18732,0.18732
0.10889,5e-05,0.08211,0.0691,0.07124,0.00208,0.00056,0.02067,0.0874,0.10496,0.01033,0.0925,0.07777,1.0,0.09693,0.10433,0.14617,0.10752,0.11735,0.06438,0.05497,0.07251,0.10752,0.08138,0.05619,0.06748,0.09774,0.08674,0.09486,0.09288,0.15114,0.12856,0.12466,0.15637,0.15637,0.14144,0.15637,0.14617,0.14144,0.09193,0.09137,0.11735,0.15114,0.15114,0.10752,0.11735,0.15114,0.12856,0.15114,0.08875,0.15637,0.07835,0.15114,0.15637,0.15114,0.14144,0.11243,0.13265,0.13694,0.10293,0.09204,0.11066,0.17121,0.12856,0.09285,0.17388,0.11243,0.13641,0.13694,0.09925,0.15637,0.10777,0.11627,0.0911,0.15637,0.09394,0.10777,0.19802,0.15637,0.0863,0.15114,0.15114,0.15637,0.08374,0.10141,0.10164,0.15114,0.15637,0.11066,0.0982,0.15637,0.10352,0.09998,0.14761,0.15637,0.14144,0.15114,0.14144,0.12499,0.10464,0.14617,0.16772,0.09074,0.15637,0.15114,0.15114,0.14617,0.10931,0.15637,0.13425,0.16189,0.15637,0.15114,0.10122,0.14617,0.15637,0.15114,0.15114,0.12092,0.13126,0.15637,0.15122,0.15637,0.09717,0.15637,0.15637
0.03376,0.0027,0.17388,0.10158,0.21326,0.00243,0.00062,0.02667,0.30286,0.31223,0.0144,0.2546,0.23135,0.09693,1.0,0.0936,0.32574,0.26286,0.15729,0.07205,0.09617,0.13694,0.15334,0.23546,0.09884,0.12466,0.35337,0.26162,0.32883,0.29883,0.53875,0.21503,0.34257,0.33905,0.3151,0.25344,0.3151,0.27845,0.26231,0.32033,0.31524,0.30595,0.53875,0.30668,0.15428,0.17163,0.28145,0.36422,0.35474,0.19468,0.37102,0.22494,0.30979,0.38712,0.53875,0.45001,0.36043,0.22974,0.41699,0.3627,0.45807,0.14572,0.33022,0.22313,0.2738,0.53875,0.22163,0.2425,0.23327,0.35946,0.31453,0.40707,0.25688,0.30204,0.33905,0.33143,0.40707,0.39879,0.33386,0.28128,0.53875,0.23219,0.34078,0.30858,0.4189,0.41952,0.3141,0.26958,0.27596,0.36293,0.31471,0.42846,0.4638,0.24661,0.6035,0.2395,0.34766,0.2395,0.31699,0.38776,0.26764,0.30729,0.18132,0.25686,0.53875,0.28387,0.25686,0.39909,0.31625,0.32133,0.28182,0.32608,0.53875,0.41836,0.33327,0.33908,0.28149,0.30668,0.32328,0.31767,0.6035,0.32427,0.31517,0.57382,0.6035,0.6035
0.03145,5e-05,0.08211,0.06591,0.04568,0.01261,0.00055,0.01937,0.06657,0.08091,0.01004,0.08808,0.05176,0.10433,0.0936,1.0,0.14617,0.10162,0.11066,0.06148,0.05497,0.09393,0.10752,0.0641,0.0515,0.06148,0.0846,0.06581,0.06988,0.07141,0.14144,0.12092,0.11735,0.14617,0.14617,0.14144,0.14617,0.14617,0.13265,0.19073,0.07618,0.11066,0.14144,0.14144,0.10162,0.11066,0.14144,0.13694,0.15114,0.08875,0.15637,0.07843,0.15114,0.15637,0.14648,0.13265,0.07777,0.12466,0.12856,0.07486,0.08967,0.11922,0.10838,0.12092,0.08274,0.14144,0.07808,0.07463,0.13694,0.07388,0.14617,0.07925,0.07964,0.07089,0.14617,0.07521,0.07925,0.08537,0.14617,0.08155,0.14144,0.13265,0.14617,0.07866,0.07923,0.07929,0.14144,0.15637,0.10451,0.07733,0.14617,0.08783,0.07785,0.09049,0.14617,0.13265,0.14144,0.13265,0.08552,0.08183,0.13694,0.15637,0.07346,0.14617,0.14144,0.14144,0.13694,0.08308,0.14617,0.08991,0.15114,0.14617,0.09572,0.07917,0.13694,0.14617,0.08217,0.14144,0.0653,0.08721,0.14617,0.09013,0.14617,0.0781,0.14617,0.14617
0.02246,0.00712,0.16189,0.1633,0.14931,0.00238,0.00062,0.02667,0.22762,0.48959,0.01398,0.24064,0.16553,0.14617,0.32574,0.14617,1.0,0.2397,0.17825,0.08748,0.09113,0.12856,0.19372,0.18763,0.0936,0.11735,0.15662,0.20917,0.24991,0.2383,0.45001,0.31789,0.30595,0.34763,0.28038,0.35569,0.28038,0.42993,0.29722,0.48959,0.31049,0.27596,0.45001,0.44132,0.17146,0.32311,0.45836,0.36422,0.55381,0.19468,0.40459,0.23907,0.38366,0.58618,0.45001,0.38877,0.27766,0.26394,0.36422,0.27297,0.24354,0.14541,0.48959,0.26691,0.45001,0.45001,0.21763,0.22582,0.25957,0.27301,0.35591,0.3036,0.41699,0.24573,0.34763,0.24698,0.3036,0.29112,0.32255,0.24781,0.45001,0.21464,0.34061,0.25339,0.30484,0.30534,0.33652,0.28596,0.25082,0.28863,0.27835,0.37302,0.2812,0.21182,0.48959,0.23262,0.48669,0.23262,0.48959,0.28606,0.27476,0.29179,0.30595,0.23782,0.45001,0.26324,0.23782,0.29591,0.28303,0.48959,0.25606,0.29954,0.45001,0.30441,0.36871,0.30557,0.25459,0.32784,0.29025,0.48959,0.48959,0.48959,0.27717,0.34706,0.48959,0.48959
0.01968,6e-05,0.11735,0.09113,0.10451,0.01158,0.06106,0.02323,0.20251,0.17868,0.01944,0.2397,0.12466,0.10752,0.26286,0.10162,0.2397,1.0,0.12924,0.05494,0.07077,0.10162,0.15114,0.17388,0.1754,0.0936,0.14617,0.19468,0.21087,0.21981,0.13551,0.20251,0.12179,0.26286,0.26286,0.22939,0.26286,0.2397,0.22939,0.26286,0.21087,0.1804,0.25082,0.25082,0.10967,0.16772,0.21087,0.19615,0.25082,0.08162,0.26286,0.21981,0.25082,0.26286,0.25082,0.12628,0.2397,0.21087,0.21981,0.22939,0.22939,0.16772,0.26286,0.20251,0.25082,0.25082,0.21981,0.21981,0.21981,0.22939,0.26286,0.25082,0.2397,0.21981,0.26286,0.2397,0.25082,0.16651,0.26286,0.25082,0.25082,0.22939,0.14185,0.26286,0.26286,0.26286,0.25082,0.2397,0.13306,0.25082,0.26286,0.26286,0.25082,0.22939,0.26286,0.15551,0.25082,0.15551,0.26286,0.25082,0.2397,0.26286,0.19468,0.2397,0.13922,0.16623,0.2397,0.25082,0.17225,0.26286,0.25082,0.26286,0.14715,0.26286,0.2397,0.26286,0.25082,0.25082,0.18732,0.26286,0.1763,0.26286,0.26286,0.26286,0.26286,0.26286
0.02001,6e-05,0.13694,0.06442,0.06742,0.02099,0.01787,0.02363,0.12214,0.30595,0.03287,0.18343,0.07893,0.11735,0.15729,0.11066,0.17825,0.12924,1.0,0.07334,0.07615,0.10451,0.09522,0.10542,0.0713,0.09617,0.08653,0.11798,0.12908,0.13349,0.29025,0.14202,0.21981,0.16797,0.17307,0.18328,0.17307,0.1466,0.14643,0.30595,0.15082,0.20251,0.29025,0.16013,0.18682,0.10228,0.13235,0.13991,0.15703,0.14144,0.16797,0.14174,0.16005,0.16488,0.29025,0.26286,0.1592,0.13283,0.25082,0.14189,0.13734,0.18732,0.30595,0.13893,0.29025,0.29025,0.1571,0.13598,0.13779,0.14066,0.20654,0.15558,0.27596,0.13289,0.16797,0.13363,0.1721,0.19149,0.16328,0.15846,0.29025,0.14282,0.18472,0.30595,0.16045,0.16053,0.16554,0.15035,0.20591,0.15709,0.17149,0.16387,0.15321,0.26286,0.30595,0.16632,0.17981,0.16632,0.30595,0.15276,0.14798,0.17297,0.21981,0.15342,0.29025,0.18001,0.15342,0.1543,0.18786,0.30595,0.16179,0.30595,0.29025,0.16039,0.16409,0.1619,0.16075,0.16013,0.21087,0.30595,0.30595,0.30595,0.30595,0.16109,0.30595,0.30595
0.0153,0.01651,0.0691,0.08319,0.06971,0.02691,0.05275,0.01906,0.08059,0.11735,0.08939,0.11066,0.07348,0.06438,0.07205,0.06148,0.08748,0.05494,0.07334,1.0,0.10162,0.0743,0.08096,0.07799,0.04805,0.0601,0.05876,0.07654,0.09285,0.07799,0.11394,0.07528,0.10162,0.10813,0.11735,0.08948,0.11735,0.08311,0.10321,0.11735,0.07155,0.09113,0.12092,0.10642,0.07061,0.071,0.09135,0.09033,0.09543,0.07077,0.10813,0.10451,0.09297,0.09714,0.11394,0.10752,0.0775,0.09307,0.10451,0.08722,0.07213,0.08823,0.11735,0.11108,0.12092,0.12092,0.12466,0.10744,0.09302,0.09285,0.11735,0.09042,0.11066,0.09325,0.10813,0.07819,0.09392,0.09692,0.09164,0.11394,0.11394,0.10752,0.30654,0.07637,0.08218,0.08242,0.12438,0.09609,0.0565,0.08066,0.11735,0.08447,0.0827,0.09065,0.11735,0.10376,0.08441,0.10376,0.11735,0.08097,0.08766,0.11735,0.09617,0.11066,0.11394,0.10697,0.11066,0.08959,0.10868,0.11735,0.11394,0.16578,0.11394,0.08561,0.07588,0.0873,0.11394,0.10991,0.0936,0.11735,0.11735,0.11735,0.12609,0.0729,0.11735,0.11735
